index,category,description
8855,ham email,Let's catch up this weekend
8856,spam email,"Win a free iPhone now, click here"
8857,ham email,Reminder to submit your timesheet
8858,ham email,Project update: tasks completed
8859,spam email,Claim your free gift card today
8860,ham email,Let's catch up this weekend
8861,ham email,"Happy birthday, have a great day"
8862,ham email,Project update: tasks completed
8863,spam email,Get rich quick with this simple trick
8864,spam email,Act now to secure your reward
8865,ham email,Project update: tasks completed
8866,ham email,Can we reschedule our call?
8867,ham email,Reminder to submit your timesheet
8868,spam email,"Exclusive deal just for you, click now"
8869,ham email,Invitation to team meeting
8870,spam email,Act now to secure your reward
8871,ham email,Let's catch up this weekend
8872,ham email,Lunch plan for today?
8873,spam email,"Win a free iPhone now, click here"
8874,ham email,Reminder to submit your timesheet
8875,spam email,"Congratulations, you won a lottery"
8876,spam email,Claim your free gift card today
8877,ham email,Project update: tasks completed
8878,spam email,Urgent: update your bank details immediately
8879,ham email,Can we reschedule our call?
8880,ham email,Can we reschedule our call?
8881,spam email,"Congratulations, you won a lottery"
8882,spam email,"Your account has been compromised, verify now"
8883,ham email,Project update: tasks completed
8884,ham email,Invitation to team meeting
8885,ham email,Let's catch up this weekend
8886,ham email,Reminder to submit your timesheet
8887,spam email,Claim your free gift card today
8888,spam email,Claim your free gift card today
8889,ham email,"Happy birthday, have a great day"
8890,ham email,"Happy birthday, have a great day"
8891,ham email,Project update: tasks completed
8892,spam email,"Win a free iPhone now, click here"
8893,spam email,Claim your free gift card today
8894,ham email,Project update: tasks completed
8895,ham email,Let's catch up this weekend
8896,spam email,You have been selected for a prize reward
8897,spam email,"Exclusive deal just for you, click now"
8898,ham email,Project update: tasks completed
8899,ham email,Lunch plan for today?
8900,ham email,Invitation to team meeting
8901,ham email,Project update: tasks completed
8902,spam email,"Limited offer, earn money fast from home"
8903,ham email,Please find attached the project report
8904,ham email,Lunch plan for today?
8905,spam email,"Limited offer, earn money fast from home"
8906,ham email,Meeting scheduled for tomorrow at 10 AM
8907,spam email,Claim your free gift card today
8908,ham email,Meeting scheduled for tomorrow at 10 AM
8909,ham email,Please find attached the project report
8910,ham email,Please find attached the project report
8911,spam email,Urgent: update your bank details immediately
8912,ham email,"Happy birthday, have a great day"
8913,ham email,"Happy birthday, have a great day"
8914,spam email,Act now to secure your reward
8915,ham email,Let's catch up this weekend
8916,spam email,Claim your free gift card today
8917,spam email,"Your account has been compromised, verify now"
8918,ham email,Can we reschedule our call?
8919,spam email,Urgent: update your bank details immediately
8920,ham email,Can we reschedule our call?
8921,spam email,Claim your free gift card today
8922,ham email,Please find attached the project report
8923,spam email,You have been selected for a prize reward
8924,ham email,Let's catch up this weekend
8925,spam email,Act now to secure your reward
8926,ham email,"Happy birthday, have a great day"
8927,ham email,Please find attached the project report
8928,ham email,Lunch plan for today?
8929,spam email,"Limited offer, earn money fast from home"
8930,ham email,Invitation to team meeting
8931,spam email,"Win a free iPhone now, click here"
8932,spam email,Act now to secure your reward
8933,ham email,Let's catch up this weekend
8934,spam email,You have been selected for a prize reward
8935,ham email,Can we reschedule our call?
8936,ham email,Can we reschedule our call?
8937,spam email,Claim your free gift card today
8938,ham email,Meeting scheduled for tomorrow at 10 AM
8939,spam email,"Exclusive deal just for you, click now"
8940,spam email,Claim your free gift card today
8941,ham email,Please find attached the project report
8942,spam email,"Win a free iPhone now, click here"
8943,spam email,Get rich quick with this simple trick
8944,ham email,Please find attached the project report
8945,spam email,"Win a free iPhone now, click here"
8946,spam email,Get rich quick with this simple trick
8947,spam email,Urgent: update your bank details immediately
8948,ham email,Weekly report submission
8949,spam email,Get rich quick with this simple trick
8950,ham email,Project update: tasks completed
8951,ham email,"Happy birthday, have a great day"
8952,ham email,Meeting scheduled for tomorrow at 10 AM
8953,spam email,"Exclusive deal just for you, click now"
8954,ham email,Weekly report submission
8955,ham email,Please find attached the project report
8956,spam email,"Your account has been compromised, verify now"
8957,spam email,Get rich quick with this simple trick
8958,spam email,Claim your free gift card today
8959,ham email,Can we reschedule our call?
8960,ham email,Invitation to team meeting
8961,spam email,Urgent: update your bank details immediately
8962,ham email,Weekly report submission
8963,spam email,Urgent: update your bank details immediately
8964,spam email,Claim your free gift card today
8965,ham email,Weekly report submission
8966,ham email,Please find attached the project report
8967,spam email,"Congratulations, you won a lottery"
8968,spam email,You have been selected for a prize reward
8969,spam email,"Congratulations, you won a lottery"
8970,spam email,"Limited offer, earn money fast from home"
8971,spam email,Claim your free gift card today
8972,ham email,Project update: tasks completed
8973,spam email,"Your account has been compromised, verify now"
8974,ham email,Project update: tasks completed
8975,ham email,Reminder to submit your timesheet
8976,spam email,"Exclusive deal just for you, click now"
8977,spam email,Urgent: update your bank details immediately
8978,ham email,Can we reschedule our call?
8979,ham email,Please find attached the project report
8980,ham email,Lunch plan for today?
8981,spam email,"Exclusive deal just for you, click now"
8982,ham email,Can we reschedule our call?
8983,ham email,Reminder to submit your timesheet
8984,ham email,Please find attached the project report
8985,spam email,"Exclusive deal just for you, click now"
8986,ham email,"Happy birthday, have a great day"
8987,spam email,"Congratulations, you won a lottery"
8988,spam email,"Exclusive deal just for you, click now"
8989,ham email,Weekly report submission
8990,ham email,Reminder to submit your timesheet
8991,ham email,Reminder to submit your timesheet
8992,spam email,"Exclusive deal just for you, click now"
8993,spam email,You have been selected for a prize reward
8994,spam email,"Limited offer, earn money fast from home"
8995,spam email,Urgent: update your bank details immediately
8996,ham email,Can we reschedule our call?
8997,ham email,Lunch plan for today?
8998,ham email,Please find attached the project report
8999,spam email,"Exclusive deal just for you, click now"
9000,spam email,"Win a free iPhone now, click here"
9001,ham email,Invitation to team meeting
9002,spam email,"Limited offer, earn money fast from home"
9003,spam email,"Congratulations, you won a lottery"
9004,spam email,You have been selected for a prize reward
9005,ham email,Reminder to submit your timesheet
9006,ham email,Weekly report submission
9007,spam email,"Exclusive deal just for you, click now"
9008,ham email,Please find attached the project report
9009,spam email,Urgent: update your bank details immediately
9010,spam email,"Win a free iPhone now, click here"
9011,spam email,"Congratulations, you won a lottery"
9012,ham email,Invitation to team meeting
9013,spam email,Urgent: update your bank details immediately
9014,spam email,"Congratulations, you won a lottery"
9015,spam email,Get rich quick with this simple trick
9016,spam email,You have been selected for a prize reward
9017,ham email,Meeting scheduled for tomorrow at 10 AM
9018,spam email,"Your account has been compromised, verify now"
9019,spam email,Urgent: update your bank details immediately
9020,ham email,Project update: tasks completed
9021,spam email,Get rich quick with this simple trick
9022,ham email,Reminder to submit your timesheet
9023,spam email,Get rich quick with this simple trick
9024,spam email,Act now to secure your reward
9025,spam email,Claim your free gift card today
9026,spam email,You have been selected for a prize reward
9027,ham email,Lunch plan for today?
9028,ham email,Can we reschedule our call?
9029,spam email,Act now to secure your reward
9030,spam email,"Limited offer, earn money fast from home"
9031,ham email,Project update: tasks completed
9032,spam email,Get rich quick with this simple trick
